"","MODEL","SCENARIO","REGION","VARIABLE","UNIT","Year","value"
"1047368","GRAPE-15","R5B0","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1047379","GRAPE-15","R5B0","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-33
"1047394","GRAPE-15","R5B0","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1051565","GRAPE-15","R5B0LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,968
"1051580","GRAPE-15","R5B0LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1051721","GRAPE-15","R5B0LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,1950.67
"1051736","GRAPE-15","R5B0LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1051747","GRAPE-15","R5B0LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,971.67
"1051762","GRAPE-15","R5B0LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1051773","GRAPE-15","R5B0LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-212.67
"1051788","GRAPE-15","R5B0LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1051799","GRAPE-15","R5B0LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-33
"1051814","GRAPE-15","R5B0LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1052449","GRAPE-15","R5B100","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,968
"1052464","GRAPE-15","R5B100","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1052605","GRAPE-15","R5B100","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,1950.67
"1052620","GRAPE-15","R5B100","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1052631","GRAPE-15","R5B100","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,971.67
"1052646","GRAPE-15","R5B100","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1052657","GRAPE-15","R5B100","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-212.67
"1052672","GRAPE-15","R5B100","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1052683","GRAPE-15","R5B100","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-33
"1052698","GRAPE-15","R5B100","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1055101","GRAPE-15","R5B200","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,968
"1055116","GRAPE-15","R5B200","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1055257","GRAPE-15","R5B200","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,1950.67
"1055272","GRAPE-15","R5B200","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1055283","GRAPE-15","R5B200","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,971.67
"1055298","GRAPE-15","R5B200","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1055309","GRAPE-15","R5B200","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-212.67
"1055324","GRAPE-15","R5B200","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1055335","GRAPE-15","R5B200","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-33
"1055350","GRAPE-15","R5B200","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1063057","GRAPE-15","R5B300","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,968
