"","MODEL","SCENARIO","REGION","VARIABLE","UNIT","Year","value"
"4633491","AIM/CGE","R5B300","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,1077.4305
"4633504","AIM/CGE","R5B300","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,52.9895
"4633514","AIM/CGE","R5B300","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,310.5076
"4633528","AIM/CGE","R5B300","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.0332
"4633538","AIM/CGE","R5B300","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,58.0618
"4633551","AIM/CGE","R5B300","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.1298
"4641775","AIM/CGE","R5B300LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,249.1922
"4641789","AIM/CGE","R5B300LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.1989
"4641916","AIM/CGE","R5B300LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,309.2447
"4641930","AIM/CGE","R5B300LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.1039
"4641940","AIM/CGE","R5B300LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,1476.471
"4641953","AIM/CGE","R5B300LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,63.2728
"4641963","AIM/CGE","R5B300LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,221.6266
"4641977","AIM/CGE","R5B300LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.0091
"4641987","AIM/CGE","R5B300LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,46.6357
"4642000","AIM/CGE","R5B300LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.0679
"4642823","AIM/CGE","R5B400","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,178.6023
"4642837","AIM/CGE","R5B400","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,8.2902
"4642964","AIM/CGE","R5B400","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,393.9513
"4642978","AIM/CGE","R5B400","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,23.1306
"4642988","AIM/CGE","R5B400","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,1147.3407
"4643001","AIM/CGE","R5B400","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,53.4048
"4643011","AIM/CGE","R5B400","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,381.4864
"4643025","AIM/CGE","R5B400","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.0305
"4643035","AIM/CGE","R5B400","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,53.2691
"4643048","AIM/CGE","R5B400","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.1905
"4665641","BET","R5B0","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,34.7655168717675
"4665649","BET","R5B0","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4665767","BET","R5B0","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,650.688924348796
"4665775","BET","R5B0","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4665788","BET","R5B0","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,866.931980705072
"4665796","BET","R5B0","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4665809","BET","R5B0","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,224.8879110351
"4665817","BET","R5B0","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4665830","BET","R5B0","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,614.276150303919
"4665838","BET","R5B0","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4667529","BET","R5B100","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,34.765509608781
"4667537","BET","R5B100","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4667655","BET","R5B100","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,650.688916934057
"4667663","BET","R5B100","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4667676","BET","R5B100","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,866.931974998345
"4667684","BET","R5B100","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4667697","BET","R5B100","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,224.887899070763
"4667705","BET","R5B100","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4667718","BET","R5B100","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,614.276143275729
"4667726","BET","R5B100","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4669417","BET","R5B200","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,34.765509608781
"4669425","BET","R5B200","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4669543","BET","R5B200","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,650.688916934057
"4669551","BET","R5B200","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4669564","BET","R5B200","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,866.931974998345
"4669572","BET","R5B200","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4669585","BET","R5B200","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,224.887899070763
"4669593","BET","R5B200","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4669606","BET","R5B200","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,614.276143275729
"4669614","BET","R5B200","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4675081","BET","R5B300","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,34.765509608781
"4675089","BET","R5B300","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4675207","BET","R5B300","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,650.688916934057
"4675215","BET","R5B300","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4675228","BET","R5B300","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,866.931974998345
"4675236","BET","R5B300","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4675249","BET","R5B300","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,224.887899070763
"4675257","BET","R5B300","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4675270","BET","R5B300","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,614.276143275729
"4675278","BET","R5B300","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4676969","BET","R5B400","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,232.072666907322
"4676977","BET","R5B400","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4677095","BET","R5B400","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,1188.50258532522
"4677103","BET","R5B400","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4677116","BET","R5B400","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,1122.15051739952
"4677124","BET","R5B400","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4677137","BET","R5B400","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,546.794908468632
"4677145","BET","R5B400","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4677158","BET","R5B400","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,851.79232668111
"4677166","BET","R5B400","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4679193","DNE21+ V.14","R5B0","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,397.437697192288
"4679206","DNE21+ V.14","R5B0","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4679421","DNE21+ V.14","R5B0","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,370.52730631408
"4679434","DNE21+ V.14","R5B0","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4679459","DNE21+ V.14","R5B0","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,1110.15348428228
"4679472","DNE21+ V.14","R5B0","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4679497","DNE21+ V.14","R5B0","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,388.542574455962
"4679510","DNE21+ V.14","R5B0","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4679535","DNE21+ V.14","R5B0","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,143.623908330087
"4679548","DNE21+ V.14","R5B0","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4686603","DNE21+ V.14","R5B0LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,397.437697192288
"4686616","DNE21+ V.14","R5B0LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4686831","DNE21+ V.14","R5B0LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,370.52730631408
"4686844","DNE21+ V.14","R5B0LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4686869","DNE21+ V.14","R5B0LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,1110.15348428228
"4686882","DNE21+ V.14","R5B0LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4686907","DNE21+ V.14","R5B0LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,388.542574455962
"4686920","DNE21+ V.14","R5B0LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4686945","DNE21+ V.14","R5B0LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,143.623908330087
"4686958","DNE21+ V.14","R5B0LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4688085","DNE21+ V.14","R5B100","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,468.796414555485
"4688098","DNE21+ V.14","R5B100","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,11.95791948
"4688313","DNE21+ V.14","R5B100","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,370.52730631408
"4688326","DNE21+ V.14","R5B100","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,1.61526744
"4688351","DNE21+ V.14","R5B100","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,1110.15348428228
"4688364","DNE21+ V.14","R5B100","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.91188504
"4688389","DNE21+ V.14","R5B100","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,388.542574455962
"4688402","DNE21+ V.14","R5B100","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.10508868
"4688427","DNE21+ V.14","R5B100","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,143.623908330087
"4688440","DNE21+ V.14","R5B100","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4692531","DNE21+ V.14","R5B200","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,499.090517285064
"4692544","DNE21+ V.14","R5B200","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,25.37117064
"4692759","DNE21+ V.14","R5B200","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,370.52730631408
"4692772","DNE21+ V.14","R5B200","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,8.446869
"4692797","DNE21+ V.14","R5B200","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,1110.15348428228
"4692810","DNE21+ V.14","R5B200","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,2.177136
"4692835","DNE21+ V.14","R5B200","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,388.542574455962
"4692848","DNE21+ V.14","R5B200","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.13983912
"4692873","DNE21+ V.14","R5B200","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,143.623908330087
"4692886","DNE21+ V.14","R5B200","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4701423","DNE21+ V.14","R5B300","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,434.622662759238
"4701436","DNE21+ V.14","R5B300","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,31.97919708
"4701651","DNE21+ V.14","R5B300","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,376.914996791785
"4701664","DNE21+ V.14","R5B300","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,18.74388492
"4701689","DNE21+ V.14","R5B300","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,1173.38402434415
"4701702","DNE21+ V.14","R5B300","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,7.04973384
"4701727","DNE21+ V.14","R5B300","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,388.695411219342
"4701740","DNE21+ V.14","R5B300","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.43082172
"4701765","DNE21+ V.14","R5B300","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,143.623908330087
"4701778","DNE21+ V.14","R5B300","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4713279","DNE21+ V.14","R5B300LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,397.401030525621
"4713292","DNE21+ V.14","R5B300LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,19.70349948
"4713507","DNE21+ V.14","R5B300LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,370.52730631408
"4713520","DNE21+ V.14","R5B300LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,21.41799408
"4713545","DNE21+ V.14","R5B300LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,1110.15348428228
"4713558","DNE21+ V.14","R5B300LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,11.5011396
"4713583","DNE21+ V.14","R5B300LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,388.542574455962
"4713596","DNE21+ V.14","R5B300LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,4.18303188
"4713621","DNE21+ V.14","R5B300LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,143.623908330087
"4713634","DNE21+ V.14","R5B300LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,1.37243304
"4714761","DNE21+ V.14","R5B400","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,427.113769725828
"4714774","DNE21+ V.14","R5B400","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,39.7390122
"4714989","DNE21+ V.14","R5B400","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,373.221128943331
"4715002","DNE21+ V.14","R5B400","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,24.4320714
"4715027","DNE21+ V.14","R5B400","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,1345.66996749879
"4715040","DNE21+ V.14","R5B400","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,13.80681036
"4715065","DNE21+ V.14","R5B400","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,395.42072412384
"4715078","DNE21+ V.14","R5B400","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,2.39819904
"4715103","DNE21+ V.14","R5B400","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,143.623908330087
"4715116","DNE21+ V.14","R5B400","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4718933","FARM 3.1","R5B0","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,2.96164242967808
"4718950","FARM 3.1","R5B0","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.000192
"4719191","FARM 3.1","R5B0","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,21.8764629302327
"4719208","FARM 3.1","R5B0","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,9.6e-05
"4719234","FARM 3.1","R5B0","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,35.7770138491237
"4719251","FARM 3.1","R5B0","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,9.6e-05
"4719277","FARM 3.1","R5B0","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,87.622422749007
"4719294","FARM 3.1","R5B0","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.000168
"4719320","FARM 3.1","R5B0","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,-60.657185905863
"4719337","FARM 3.1","R5B0","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,1.83596696951595
"4721557","FARM 3.1","R5B0LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,8.87276371756498
"4721574","FARM 3.1","R5B0LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.000192
"4721815","FARM 3.1","R5B0LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,14.4944574389777
"4721832","FARM 3.1","R5B0LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,9.6e-05
"4721858","FARM 3.1","R5B0LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,29.3675654146861
"4721875","FARM 3.1","R5B0LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,9.6e-05
"4721901","FARM 3.1","R5B0LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,16.2310587079616
"4721918","FARM 3.1","R5B0LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.000168
"4721944","FARM 3.1","R5B0LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,-49.7192581289725
"4721961","FARM 3.1","R5B0LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,1.09299480647659
"4722869","FARM 3.1","R5B100","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,1.95551006337853
"4722886","FARM 3.1","R5B100","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.000192
"4723127","FARM 3.1","R5B100","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,21.9166916867987
"4723144","FARM 3.1","R5B100","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,9.6e-05
"4723170","FARM 3.1","R5B100","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,35.7827755053911
"4723187","FARM 3.1","R5B100","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,9.6e-05
"4723213","FARM 3.1","R5B100","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,89.8890919874871
"4723230","FARM 3.1","R5B100","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.000168
"4723256","FARM 3.1","R5B100","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,102.856400067267
"4723273","FARM 3.1","R5B100","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,23.8784018039729
"4725493","FARM 3.1","R5B200","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,2.11261364715553
"4725510","FARM 3.1","R5B200","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.000192
"4725751","FARM 3.1","R5B200","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,22.6727047766021
"4725768","FARM 3.1","R5B200","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,9.6e-05
"4725794","FARM 3.1","R5B200","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,35.9077363768393
"4725811","FARM 3.1","R5B200","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,9.66651218469081e-05
"4725837","FARM 3.1","R5B200","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,181.347475106068
"4725854","FARM 3.1","R5B200","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,8.01468068407981
"4725880","FARM 3.1","R5B200","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,87.5085507994218
"4725897","FARM 3.1","R5B200","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,37.9272302734533
"4728117","FARM 3.1","R5B300","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,3.0068105428027
"4728134","FARM 3.1","R5B300","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.000192
"4728375","FARM 3.1","R5B300","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,69.9014289143522
"4728392","FARM 3.1","R5B300","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,5.06327959466699
"4728418","FARM 3.1","R5B300","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,36.0217035007553
"4728435","FARM 3.1","R5B300","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.000100798465706077
"4728461","FARM 3.1","R5B300","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,180.00766729995
"4728478","FARM 3.1","R5B300","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,16.4827698206422
"4728504","FARM 3.1","R5B300","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,82.8151937988504
"4728521","FARM 3.1","R5B300","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,46.5641469027778
"4730741","FARM 3.1","R5B300LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,28.5637727117465
"4730758","FARM 3.1","R5B300LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.000192
"4730999","FARM 3.1","R5B300LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,39.831186103984
"4731016","FARM 3.1","R5B300LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,7.64510655515119
"4731042","FARM 3.1","R5B300LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,28.3269193772597
"4731059","FARM 3.1","R5B300LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.000103077020154866
"4731085","FARM 3.1","R5B300LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,71.2696011980948
"4731102","FARM 3.1","R5B300LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,18.0994768802276
"4731128","FARM 3.1","R5B300LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,12.8034504999371
"4731145","FARM 3.1","R5B300LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,40.9638101483861
"4732053","FARM 3.1","R5B400","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,3.39466376883848
"4732070","FARM 3.1","R5B400","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.000192
"4732311","FARM 3.1","R5B400","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,76.1050296411632
"4732328","FARM 3.1","R5B400","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,9.79475301594105
"4732354","FARM 3.1","R5B400","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,36.0177880569002
"4732371","FARM 3.1","R5B400","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.000104255030753543
"4732397","FARM 3.1","R5B400","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,420.344695692647
"4732414","FARM 3.1","R5B400","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,25.3908513824991
"4732440","FARM 3.1","R5B400","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,84.6309880383943
"4732457","FARM 3.1","R5B400","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,55.1085316324403
"4745228","GCAM_EMF33","R5B0","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,403.972615561372
"4745280","GCAM_EMF33","R5B0","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4745786","GCAM_EMF33","R5B0","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,683.403105968476
"4745838","GCAM_EMF33","R5B0","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4745879","GCAM_EMF33","R5B0","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,655.243104950306
"4745931","GCAM_EMF33","R5B0","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4745972","GCAM_EMF33","R5B0","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,-450.757417774177
"4746024","GCAM_EMF33","R5B0","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4746065","GCAM_EMF33","R5B0","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,-255.196363813895
"4746117","GCAM_EMF33","R5B0","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4754965","GCAM_EMF33","R5B0LP","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,-87.5834322859521
"4755017","GCAM_EMF33","R5B0LP","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4755523","GCAM_EMF33","R5B0LP","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,474.51211428472
"4755575","GCAM_EMF33","R5B0LP","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4755616","GCAM_EMF33","R5B0LP","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,250.223865414425
"4755668","GCAM_EMF33","R5B0LP","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4755709","GCAM_EMF33","R5B0LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,-1055.49767609207
"4755761","GCAM_EMF33","R5B0LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4755802","GCAM_EMF33","R5B0LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,-458.352793717467
"4755854","GCAM_EMF33","R5B0LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0
"4756902","GCAM_EMF33","R5B100","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,343.741966699051
"4756954","GCAM_EMF33","R5B100","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,1.4787981272838
"4757460","GCAM_EMF33","R5B100","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2030,609.758666390327
"4757512","GCAM_EMF33","R5B100","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.32329671818
"4757553","GCAM_EMF33","R5B100","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2030,616.022324772906
"4757605","GCAM_EMF33","R5B100","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.724861794408
"4757646","GCAM_EMF33","R5B100","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2030,-212.35434861116
"4757698","GCAM_EMF33","R5B100","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,3.4464585134447
"4757739","GCAM_EMF33","R5B100","REF","Emissions|CO2|Land Use","Mt CO2/yr",2030,-231.460411270112
"4757791","GCAM_EMF33","R5B100","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2030,0.31699573267
"4762739","GCAM_EMF33","R5B200","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2030,466.285374089531
